לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7170,MTU Aero Engines AG,MTP 109,Visual and penetrant inspection of LPT rotor blades,,,,,01/02/1996,01/05/2008,Active,,,
7170,MTU Aero Engines AG,MTP 11,Assessment of etched components  in nickel alloys,,,,5,01/06/2005,01/06/2005,Active,,,
7170,MTU Aero Engines AG,MTP 11-2,INSPECTION OF COMPONENTS OF NICKEL ALLOYS OF NICKEL ALLOYS,,,,,01/03/1981,01/03/1981,Active,,,
7170,MTU Aero Engines AG,MTP 112,"Acceptance limits for blade/vane radii;
Leading and trailing edges",105155,הרוש ציון,,18,01/12/2011,01/09/2018,Active,,,
7170,MTU Aero Engines AG,MTP 11222,DIFFUSER SEGMENT OUTER,105155,הרוש ציון,,B,01/03/1998,01/03/1998,Active,,,
7170,MTU Aero Engines AG,MTP 11231,"Project V2500,Blade 4 stg",,,,18,01/05/2005,01/04/2018,Active,,,
7170,MTU Aero Engines AG,MTP 11238,"Project V2500,Blade 6 stg",,,,C,01/01/1993,01/01/1993,Active,,,
7170,MTU Aero Engines AG,MTP 11275,"Project PW305 / PW307
Rotor disc, TRB, stg 3
Closed-die forging, premachined",106815,וולפמן בוריס,,,01/01/2012,01/10/2012,Active,,,
7170,MTU Aero Engines AG,MTP 11276,"Project PW305 / PW 307
Rotor disc, TRB, stg 4
Closed-die forging, premachined",106815,וולפמן בוריס,,,01/01/2012,01/11/2014,Active,,,
7170,MTU Aero Engines AG,MTP 11309,"Project V2500,Blade LPT 3stg",105155,הרוש ציון,,18,01/05/2005,01/04/2018,Active,,,
7170,MTU Aero Engines AG,MTP 115-07,ACCEPTANCE LIMITS OF THERMAL SPRAYED COATINGS,113522,נפמן אוראל,,,01/11/2003,01/10/2018,Active,,,
7170,MTU Aero Engines AG,MTP 115-1,Acceptance limits of thermal sprayed coatings,113522,נפמן אוראל,,17,01/11/2006,01/01/2017,Active,,,
7170,MTU Aero Engines AG,MTP 115-1059,Part specific acceptance limits for thermal sprayed coatings on knife edge seals,113522,נפמן אוראל,,18,01/03/2015,01/08/2018,Active,,,
7170,MTU Aero Engines AG,MTP 115-1061,PART SPECIFIC ACCEPTANCE LIMITS FOR THERMAL SPRAYED,115402,טרננקו ויטלי,,20,01/11/2003,01/02/2020,Active,,,
7170,MTU Aero Engines AG,MTP 115-114,"Acceptance limits of thermal sprayed
coatings",115402,טרננקו ויטלי,,,01/05/2007,01/05/2007,Active,,,
7170,MTU Aero Engines AG,MTP 115-12,Acceptance limits of thermal sprayed coatings,,,,,01/06/2007,01/06/2007,Active,,,
7170,MTU Aero Engines AG,MTP 115-129,"Acceptance limits of thermal sprayed
coatings",106815,וולפמן בוריס,,16,01/07/2005,01/07/2016,Active,,,
7170,MTU Aero Engines AG,MTP 115-145,"Acceptance limits of thermal
sprayed coating MTS 1061E",113522,נפמן אוראל,12,16,01/12/2009,01/06/2016,Active,,,
7170,MTU Aero Engines AG,MTP 115-64,Acceptance limits of thermal sprayed coating MTS1309D,113522,נפמן אוראל,12,16,01/08/2010,01/06/2016,Active,,,
7170,MTU Aero Engines AG,MTP 115-7,"Acceptance limits of thermal Acceptance limits of thermal spray
coating MTS1061C",106815,וולפמן בוריס,,18,01/12/2011,01/12/2011,Active,,,
7170,MTU Aero Engines AG,MTP 11514,"Project PW530 BLADE, TRB, Stg. 3 Precision Casting",105155,הרוש ציון,14,,01/12/2008,30/04/2020,Active,,,
7170,MTU Aero Engines AG,MTP 11532,"Project PW530
Rotor disc, TRB, stg 2 and 3
Closed-die forging, premachined",106815,וולפמן בוריס,,,01/10/2012,01/10/2012,Active,,,
7170,MTU Aero Engines AG,MTP 11593,"Rotor disc, TRB, stg 5",106815,וולפמן בוריס,22,4,01/10/2004,01/10/2004,Active,,,
7170,MTU Aero Engines AG,MTP 11601,"Project PW 306,Blade LPT 3stg",,,,,01/11/2005,01/11/2008,Active,,,
7170,MTU Aero Engines AG,MTP 11602,"Project PW306,Blade LPT 4 stg",,,,-,01/11/2005,01/11/2008,Active,,,
7170,MTU Aero Engines AG,MTP 11603,"Project PW306,Blade LPT 5 stg",,,,8,01/11/2005,01/11/2008,Active,,,
7170,MTU Aero Engines AG,MTP 11609,"PROJEKT PW540:LAUFSCHEIBE,TRB,ST 4:GESENKSCHMIEDESTUCK",,,,,01/07/2001,01/07/2001,Active,,,
7170,MTU Aero Engines AG,MTP 11626,"Project PW545 BLADE, LPT Stg. 2 Precision Casting",,,,9,01/01/2009,01/01/2009,Active,,,
7170,MTU Aero Engines AG,MTP 11627,"Project 545 BLADE, LPT Stg. 3 Precision Casting",112797,יונגמן יותם,,,01/01/2009,01/07/2018,Active,,,
7170,MTU Aero Engines AG,MTP 11628,"Project PW545 BLADE, LPT Stg. 4 Precision Casting",112797,יונגמן יותם,,,01/01/2009,01/07/2018,Active,,,
7170,MTU Aero Engines AG,MTP 11691,"PROJEKT PW 2037, DICHTRING, TRB, ST.3 BIS 7",,,,,01/02/2003,01/02/2003,Active,,,
7170,MTU Aero Engines AG,MTP 11785,"Project PW530,Blade LPT 2 stg",,,,-,01/11/2005,01/11/2008,Active,,,
7170,MTU Aero Engines AG,MTP 11874,"PROJECT PW6000 VANE, TRB, STG 4 PRECISION CASTING INSPECTION SPECIFICATION",,,,,01/04/2000,01/04/2000,Active,,,
7170,MTU Aero Engines AG,MTP 11938,"Project PW305,Blade LPT 3 stg",,,,18,01/08/2006,01/07/2018,Active,,,
7170,MTU Aero Engines AG,MTP 11939,"Project PW305,Blade LPT 4 stg",,,,C,01/08/2006,01/07/2018,Active,,,
